1	مصحف إبراهيم الأخضر برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/ibrahim_alakhdar/32
56	مصحف إبراهيم الأخضر برواية حفص عن عاصم	surah	114	server6.mp3quran.net/akdr
251	مصحف إبراهيم الأخضر برواية حفص عن عاصم	ayah	114	files.quranpedia.net/recitations/251
2	مصحف شيخ أبو بكر الشاطري برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/shaik_abu_baker_alshatri/128
112	مصحف شيخ أبو بكر الشاطري برواية حفص عن عاصم	surah	114	server11.mp3quran.net/shatri
3	مصحف أحمد بن علي العجمي برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/ahmed_alajmy/128
48	مصحف أحمد بن علي العجمي برواية حفص عن عاصم	surah	114	server10.mp3quran.net/ajm
4	مصحف أحمد نعينع برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/ahmed_neana/128
53	مصحف أحمد نعينع برواية حفص عن عاصم	surah	114	server11.mp3quran.net/ahmad_nu
5	مصحف أكرم العلاقمي برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/akram_alalaqmy/128
55	مصحف أكرم العلاقمي برواية حفص عن عاصم	surah	114	server9.mp3quran.net/akrm
7	مصحف خالد القحطاني برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/khalid_alqahtani/128
86	مصحف خالد القحطاني برواية حفص عن عاصم	surah	114	server10.mp3quran.net/qht
8	مصحف خليفة الطنيجي برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/khalefa_altunaiji/64
90	مصحف خليفة الطنيجي برواية حفص عن عاصم	surah	114	server12.mp3quran.net/tnjy
9	مصحف سعود الشريم برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/saud_alshuraim/128
106	مصحف سعود الشريم برواية حفص عن عاصم	surah	114	server7.mp3quran.net/shur
10	مصحف سهل ياسين برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/sahl_yassin/128
108	مصحف سهل ياسين برواية حفص عن عاصم	surah	114	server6.mp3quran.net/shl
11	مصحف صلاح البدير برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/salah_albudair/128
118	مصحف صلاح البدير برواية حفص عن عاصم	surah	114	server6.mp3quran.net/s_bud
12	مصحف صلاح بو خاطر برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/salaah_bukhatir/128
121	مصحف صلاح بو خاطر برواية حفص عن عاصم	surah	114	server8.mp3quran.net/bu_khtr
13	مصحف عبدالباسط عبدالصمد برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/abdulbasit_abdulsamad/128
14	مصحف عبدالباسط عبدالصمد برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/abdulbasit_abdulsamad_mujawwad/128
129	مصحف عبدالباسط عبدالصمد برواية حفص عن عاصم	surah	114	server7.mp3quran.net/basit
131	المصحف المجود للقارئ عبدالباسط عبدالصمد 	surah	114	server7.mp3quran.net/basit/Almusshaf-Al-Mojawwad
16	مصحف عبدالرحمن السديس برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/abdurrahmaan_alsudais/128
132	مصحف عبدالرحمن السديس برواية حفص عن عاصم	surah	114	server11.mp3quran.net/sds
17	مصحف عبدالله المطرود برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/abdullah_almatroud/128
145	مصحف عبدالله المطرود برواية حفص عن عاصم	surah	114	server8.mp3quran.net/mtrod
18	مصحف عبدالله بصفر برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/abdullah_basfar/128
147	مصحف عبدالله بصفر برواية حفص عن عاصم	surah	114	server6.mp3quran.net/bsfr
253	مصحف عبد الله بصفر برواية حفص عن عاصم	ayah	114	files.quranpedia.net/recitations/253
19	مصحف عبدالله عواد الجهني برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/abdullaah_aljohani/128
149	مصحف عبدالله عواد الجهني برواية حفص عن عاصم	surah	114	server13.mp3quran.net/jhn
20	مصحف عبدالمحسن القاسم برواية حفص عن عاصم	ayah	114	verse.mp3quran.net/arabic/abdulmohsin_alqasim/128
